Nom,Nom url,Developpeur,Categorie(s),Nombre installations,Date de mise a jour,Taille,Version Actuelle,Version Android,Note,Date,Heure
Zoo 2: Animal Park,upjers.zoo2animalpark,upjers GmbH,Adventure,10000000,2022-04-11 00:00:00.000000,146 Mo,1.77.0,4.4,4.3,2022-04-11 00:00:00.000000,2022-05-06 21:33:02.329690
Spider Hero: Super heroes rope,Spider.Hero,Mamboo Games,Adventure,1000000,2022-04-01 00:00:00.000000,93 Mo,1.0.4,5.1,4.1,2022-04-11 00:00:00.000000,2022-05-06 21:33:02.443122
Rescue The Lover,MegaJoy.Rescue,ABI Global LTD,Adventure,10000000,2022-03-28 00:00:00.000000,66 Mo,1.19,4.4,4.5,2022-04-11 00:00:00.000000,2022-05-06 21:33:02.825258
House Designer : Fix & Flip,kgs.housedesigner,Karate Goose Studio,Adventure,50000000,2022-03-18 00:00:00.000000,95 Mo,1.100,4.4,4.4,2022-04-11 00:00:00.000000,2022-05-06 21:33:02.938476
Hello Neighbor,tinybuildgames.helloneighbor,tinyBuild,Adventure,10000000,2021-10-18 00:00:00.000000,61 Mo,1.0,6.0,3.9,2022-04-11 00:00:00.000000,2022-05-06 21:33:03.052581
Prison Break: Stickman Adventure,MegaJoy.PrisonBreak68,OneSoft Global PTE. LTD.,Adventure,50000000,2022-03-29 00:00:00.000000,78 Mo,1.30,4.4,4.4,2022-04-11 00:00:00.000000,2022-05-06 21:33:03.167591
RealmCraft 3D Mine Block World,tellurionmobile.realmcraft,Tellurion Mobile,Adventure,100000000,2022-03-23 00:00:00.000000,112 Mo,5.3.9,4.4,3.9,2022-04-11 00:00:00.000000,2022-05-06 21:33:03.280424
Hit Perfect 3D,Deven.PerfectArcher3D,Supersonic Studios LTD,Adventure,1000000,2022-02-15 00:00:00.000000,92 Mo,1.1,5.0,4.7,2022-04-11 00:00:00.000000,2022-05-06 21:33:03.393647
Eerskraft,eers.kraft.eerskraft,Gooogame,Adventure,10000000,2021-10-28 00:00:00.000000,22 Mo,1.22,4.2,3.8,2022-04-11 00:00:00.000000,2022-05-06 21:33:03.910261
Goodville: Farm Game Adventure,goodville.goodgame,Stork Limited,Adventure,1000000,2022-04-01 00:00:00.000000,152 Mo,3.6.366,6.0,4.5,2022-04-11 00:00:00.000000,2022-05-06 21:33:04.025625
Queen Bee!,MoodGames.QueenBee,Rollic Games,Adventure,10000000,2022-04-11 00:00:00.000000,190 Mo,2.3.7,5.0,3.5,2022-04-11 00:00:00.000000,2022-05-06 21:33:04.366290
Crafting and Building,mmircil.cnb2,GeneRe,Adventure,10000000,2022-03-13 00:00:00.000000,255 Mo,2.4.18.20,5.1,4.2,2022-04-11 00:00:00.000000,2022-05-06 21:33:04.480033
Harry Potter: Hogwarts Mystery,tinyco.potter,"Jam City, Inc.",Adventure,50000000,2022-03-29 00:00:00.000000,159 Mo,4.1.4,5.0,4.5,2022-04-11 00:00:00.000000,2022-05-06 21:33:04.636664
PAW Patrol Rescue World,budgestudios.googleplay.PawPatrolRescueWorld,Budge Studios,Casual,10000000,2022-03-28 00:00:00.000000,48 Mo,2022.2.0,4.1,4.1,2022-04-11 00:00:00.000000,2022-05-06 21:33:04.749895
Farm Land - Farming life game,loltap.farmland,HOMA GAMES,Adventure,10000000,2022-03-31 00:00:00.000000,105 Mo,2.2.3,7.1,4.5,2022-04-11 00:00:00.000000,2022-05-06 21:33:04.885868
Hillside Drive: car racing,hillside.rush.racing,Dreamy Dingo,Racing,5000000,2022-03-10 00:00:00.000000,96 Mo,0.8.8.72,5.1,4.0,2022-04-11 00:00:00.000000,2022-05-06 21:33:04.999647
Slugterra: Slug it Out 2,dhxmedia.slugitout2,Epic Story Interactive,Puzzle,10000000,2022-03-24 00:00:00.000000,55 Mo,4.5.1,4.4,4.7,2022-04-11 00:00:00.000000,2022-05-06 21:33:05.113709
Toon Cup 2021 - Football Game,turner.tooncup,Cartoon Network EMEA,Sports,50000000,2021-10-27 00:00:00.000000,42 Mo,4.5.22,5.0,4.2,2022-04-11 00:00:00.000000,2022-05-06 21:33:05.227287
Hot Wheels Unlimited,budgestudios.googleplay.HotWheelsUnlimited,Budge Studios,Racing,10000000,2022-03-02 00:00:00.000000,49 Mo,2022.1.0,4.1,3.9,2022-04-11 00:00:00.000000,2022-05-06 21:33:05.340058
BEYBLADE BURST app,hasbro.beybladesenterprise,Hasbro Inc.,Action,10000000,2022-03-31 00:00:00.000000,58 Mo,10.1,5.0,4.4,2022-04-11 00:00:00.000000,2022-05-06 21:33:05.475208
Pokémon Quest,pokemon.pokemonquest,The Pokemon Company,Role Playing,10000000,2021-10-19 00:00:00.000000,161 Mo,1.0.6,4.4,4.2,2022-04-11 00:00:00.000000,2022-05-06 21:33:05.589548
Bubbu – My Virtual Pet Cat,bubadu.bubbu,Bubadu,Casual,100000000,2022-03-31 00:00:00.000000,100 Mo,1.89,5.0,4.1,2022-04-11 00:00:00.000000,2022-05-06 21:33:05.715387
Duddu - My Virtual Pet Dog,bubadu.duddu,Bubadu,Casual,10000000,2022-03-30 00:00:00.000000,104 Mo,1.67,5.0,4.1,2022-04-11 00:00:00.000000,2022-05-06 21:33:05.828995
Ricky Zoom™,rickyzoom.welcometowheelford,Entertainment One,Casual,10000000,2020-11-13 00:00:00.000000,41 Mo,1.4.1,4.1,3.6,2022-04-11 00:00:00.000000,2022-05-06 21:33:05.942019
LEGO® Star Wars™: TFA,wb.goog.legoswtfa,Warner Bros. International Enterprises,Adventure,10000000,2021-11-24 00:00:00.000000,10 Mo,2.0.1.27,5.0,3.7,2022-04-11 00:00:00.000000,2022-05-06 21:33:06.168927
My Little Pony: Magic Princess,gameloft.android.ANMP.GloftPOHM,Gameloft SE,Casual,50000000,2022-03-29 00:00:00.000000,52 Mo,7.4.1,4.4,4.3,2022-04-11 00:00:00.000000,2022-05-06 21:33:06.316273
LEGO® Friends: Heartlake Rush,lego.friends.heartlake,StoryToys,Arcade,10000000,2021-10-04 00:00:00.000000,125 Mo,1.6.7,4.4,4.3,2022-04-11 00:00:00.000000,2022-05-06 21:33:06.429200
Pixie the Pony - Virtual Pet,bubadu.pixie,Bubadu,Casual,10000000,2022-03-30 00:00:00.000000,53 Mo,1.50,5.0,4.3,2022-04-11 00:00:00.000000,2022-05-06 21:33:06.604037
Kids Monster Truck,PSVStudio.HippoMonstarTruck,Hippo Kids Games,Racing,10000000,2022-04-01 00:00:00.000000,94 Mo,1.6.2,5.0,4.4,2022-04-11 00:00:00.000000,2022-05-06 21:33:06.739308
Horizon Chase,aquiris.horizonchase,Aquiris Game Studio S.A,Racing,10000000,2022-03-11 00:00:00.000000,289 Mo,2.3,4.4,4.6,2022-04-11 00:00:00.000000,2022-05-06 21:33:06.852239
Touchgrind BMX,illusionlabs.bmx,Illusion Labs,Sports,50000000,2019-08-13 00:00:00.000000,126 Mo,1.37,4.2,3.8,2022-04-11 00:00:00.000000,2022-05-06 21:33:07.197497
L.O.L. Surprise Ball Pop,mgae.comlolsurprise.ballpop,MGA Entertainment,Casual,10000000,2020-02-11 00:00:00.000000,58 Mo,3.4,4.1,3.8,2022-04-11 00:00:00.000000,2022-05-06 21:33:07.308311
Cartoon Network GameBox,turner.cartoonnetworkgames,Cartoon Network EMEA,Arcade,5000000,2021-12-17 00:00:00.000000,102 Mo,3.0.11,5.0,4.3,2022-04-11 00:00:00.000000,2022-05-06 21:33:07.422695
My Little Pony Rainbow Runners,budgestudios.googleplay.MyLittlePonyRainbowRunners,Budge Studios,Casual,10000000,2021-09-03 00:00:00.000000,38 Mo,2021.2.0,4.1,4.1,2022-04-11 00:00:00.000000,2022-05-06 21:33:07.645301
Car wash,YovoGames.carwash4,YovoGames,Adventure,10000000,2022-03-10 00:00:00.000000,26 Mo,1.2.2,4.4,3.9,2022-04-11 00:00:00.000000,2022-05-06 21:33:07.762661
Monster Trucks Game for Kids 2,razmobi.monstertrucks2,Raz Games,Educational,50000000,2022-03-17 00:00:00.000000,32 Mo,2.9.31,4.1,3.9,2022-04-11 00:00:00.000000,2022-05-06 21:33:07.876131
Balls Go High,cassette.ballsgohigh,VOODOO,Racing,1000000,2022-04-11 00:00:00.000000,90 Mo,1.6.1,4.4,3.1,2022-04-11 00:00:00.000000,2022-05-06 21:33:07.989523
Line Race: Police Pursuit,line.race,CASUAL AZUR GAMES,Racing,1000000,2022-04-06 00:00:00.000000,99 Mo,1.0.5,5.0,4.1,2022-04-11 00:00:00.000000,2022-05-06 21:33:08.102253
My Little Pony: Harmony Quest,budgestudios.MyLittlePonyHarmonyQuest,Budge Studios,Casual,10000000,2021-08-19 00:00:00.000000,186 Mo,2021.2.0,4.1,3.8,2022-04-11 00:00:00.000000,2022-05-06 21:33:08.215625
"Easy games for kids 2,3,4 year old",joongly.kids.learning.games,Joongly games,Educational,1000000,2021-10-22 00:00:00.000000,24 Mo,1.04,4.4,4.2,2022-04-11 00:00:00.000000,2022-05-06 21:33:08.328288
PJ Masks™: Moonlight Heroes,pjmasks.moonlightheroes,Entertainment One,Casual,100000000,2021-11-24 00:00:00.000000,99 Mo,3.7.1,4.1,3.9,2022-04-11 00:00:00.000000,2022-05-06 21:33:08.441188
Traffic Rider,skgames.trafficrider,Soner Kara,Racing,100000000,2021-12-23 00:00:00.000000,126 Mo,1.81,5.0,4.3,2022-04-11 00:00:00.000000,2022-05-06 21:33:08.851079
Driving Time,tmdrive.drvtime,Rohan Baria,Racing,1000000,2021-02-25 00:00:00.000000,19 Mo,1.0,5.0,2.6,2022-04-11 00:00:00.000000,2022-05-06 21:33:09.043365
Level Up Cars,Tinkerbox.LevelUpCars,Rollic Games,Racing,1000000,2022-04-05 00:00:00.000000,211 Mo,1.4,7.1,2.6,2022-04-11 00:00:00.000000,2022-05-06 21:33:09.269466
Lightning Drift Racing,ssonn.boomrace,huee,Racing,10000,2022-03-25 00:00:00.000000,47 Mo,1.0.1,5.1,5.0,2022-04-11 00:00:00.000000,2022-05-06 21:33:09.381868
Ben 10 Heroes,epicstory.ben10,Epic Story Interactive,Action,10000000,2021-04-12 00:00:00.000000,56 Mo,1.7.1,4.4,4.1,2022-04-11 00:00:00.000000,2022-05-06 21:33:09.607676
Race Master 3D - Car Racing,easygames.race,SayGames Ltd,Racing,50000000,2022-03-21 00:00:00.000000,164 Mo,3.2.3,5.0,4.4,2022-04-11 00:00:00.000000,2022-05-06 21:33:09.721014
Construction Ramp Jumping,construction.ramp.jumping,BoomBit Games,Racing,5000000,2022-03-29 00:00:00.000000,94 Mo,0.5.0,5.1,3.6,2022-04-11 00:00:00.000000,2022-05-06 21:33:09.944494
Riding Extreme 3D,ducky.bikehill3d,playducky.com,Racing,10000000,2022-03-16 00:00:00.000000,240 Mo,1.56,5.0,4.3,2022-04-11 00:00:00.000000,2022-05-06 21:33:10.064248
Extreme Car Driving Simulator,aim.racing,AxesInMotion Racing,Racing,100000000,2022-03-24 00:00:00.000000,141 Mo,6.1.1,4.4,4.3,2022-04-11 00:00:00.000000,2022-05-06 21:33:10.178174
Muscle Race 3D,co.goodroid.hyper.muscle,"GOODROID,Inc.",Racing,50000000,2022-01-26 00:00:00.000000,88 Mo,1.1.1,5.0,2.8,2022-04-11 00:00:00.000000,2022-05-06 21:33:10.291342
They Are Coming,luna.theyarecoming,Rollic Games,Racing,10000000,2022-04-06 00:00:00.000000,52 Mo,2.2.60,7.0,1.8,2022-04-11 00:00:00.000000,2022-05-06 21:33:10.405710
CityRanger Racing Game,raceranger.gamepp,zhangrr,Racing,100000,2022-03-15 00:00:00.000000,44 Mo,1.0.1,5.0,4.9,2022-04-11 00:00:00.000000,2022-05-06 21:33:10.518093
Animal Transform Race - Epic Race 3D,whitesquare.animaltransform,Lion Studios,Racing,50000000,2022-01-15 00:00:00.000000,78 Mo,1.7,5.0,4.3,2022-04-11 00:00:00.000000,2022-05-06 21:33:10.629066
Train Ramp Jumping,train.ramp.jumping,BoomBit Games,Racing,1000000,2022-04-08 00:00:00.000000,93 Mo,0.2.0,5.1,4.3,2022-04-11 00:00:00.000000,2022-05-06 21:33:10.744022
Hill Climb Racing 2,fingersoft.hcr2,Fingersoft,Racing,100000000,2022-02-24 00:00:00.000000,147 Mo,1.49.1,4.4,4.5,2022-04-11 00:00:00.000000,2022-05-06 21:33:10.964990
Hill Climb Racing,fingersoft.hillclimb,Fingersoft,Racing,500000000,2022-03-30 00:00:00.000000,73 Mo,1.54.1,4.4,4.6,2022-04-11 00:00:00.000000,2022-05-06 21:33:11.203659
Money Run 3D,money.run.hypercasual3d,XGame Global,Racing,10000000,2022-03-26 00:00:00.000000,109 Mo,2.0.4,6.0,4.0,2022-04-11 00:00:00.000000,2022-05-06 21:33:11.349885
Mad Skills Motocross 3,turborilla.bike.racing.madskillsmotocross3,Turborilla,Racing,10000000,2022-03-30 00:00:00.000000,140 Mo,1.5.7,4.4,4.5,2022-04-11 00:00:00.000000,2022-05-06 21:33:11.464314
Real Racing  3,ea.games.r3_row,ELECTRONIC ARTS,Racing,100000000,2022-03-23 00:00:00.000000,44 Mo,10.3.6,4.4,4.3,2022-04-11 00:00:00.000000,2022-05-06 21:33:11.577742
Car Simulator City Drive Game,xsasoftware.drivingsimulator2018,xsasoftware,Racing,1000000,2018-10-30 00:00:00.000000,97 Mo,1.12,4.1,3.9,2022-04-11 00:00:00.000000,2022-05-06 21:33:11.690730
Jump into the Plane,jump.into.plane.stunt,BoomBit Games,Racing,10000000,2022-03-28 00:00:00.000000,88 Mo,0.7.0,5.1,3.9,2022-04-11 00:00:00.000000,2022-05-06 21:33:11.804264
Turbo Stars - Rival Racing,turbo.stars,SayGames Ltd,Racing,100000000,2022-04-08 00:00:00.000000,47 Mo,1.8.12,4.4,4.6,2022-04-11 00:00:00.000000,2022-05-06 21:33:11.917588
Motorcycle Real Simulator,cerebelliumapps.motoextremeracing,Cerebellium Apps,Racing,1000000,2022-04-07 00:00:00.000000,171 Mo,3.0.26,5.0,4.6,2022-04-11 00:00:00.000000,2022-05-06 21:33:12.031892
CarX Rally,carxtech.rally,"CarX Technologies, LLC",Racing,5000000,2022-04-08 00:00:00.000000,80 Mo,17304,6.0,4.2,2022-04-11 00:00:00.000000,2022-05-06 21:33:12.185726
Asphalt 8 - Car Racing Game,gameloft.android.ANMP.GloftA8HM,Gameloft SE,Racing,100000000,2022-02-23 00:00:00.000000,177 Mo,6.2.2,5.0,4.5,2022-04-11 00:00:00.000000,2022-05-06 21:33:12.303510
Chronicle of Infinity,emagroups.lod2,NEOCRAFT LIMITED,Role Playing,100000,2022-03-28 00:00:00.000000,1.1G,1.3.3,4.4,4.6,2022-04-11 00:00:00.000000,2022-05-06 21:33:12.417332
Bus Simulator Games: Bus Games,gzl.drivebus.parking.game,The Knights Pvt Ltd,Racing,50000000,2022-04-11 00:00:00.000000,52 Mo,2.93.4,4.4,4.6,2022-04-11 00:00:00.000000,2022-05-06 21:33:12.533496
Hair Dye,crazylabs.hair.dye.challenge,CrazyLabs LTD,Role Playing,50000000,2022-04-10 00:00:00.000000,148 Mo,1.3.8.0,6.0,4.2,2022-04-11 00:00:00.000000,2022-05-06 21:33:12.760272
Vikingard,netease.vikingard,Netease Games Global,Role Playing,1000000,2022-03-22 00:00:00.000000,"1,002 Mo",1.0.83.770019,4.4,4.6,2022-04-11 00:00:00.000000,2022-05-06 21:33:12.873448
Fashion Battle - Dress to win,com.apps.fashion.battle,Apps Mobile Games,Role Playing,10000000,2022-03-25 00:00:00.000000,104 Mo,1.09.03,5.0,4.3,2022-04-11 00:00:00.000000,2022-05-06 21:33:12.987415
Foot Clinic - ASMR Feet Care,crazylabs.foot.doctor,CrazyLabs LTD,Role Playing,50000000,2022-02-08 00:00:00.000000,81 Mo,1.6.8.0,6.0,4.0,2022-04-11 00:00:00.000000,2022-05-06 21:33:13.383305
Dog Life Simulator,funcell.petsimulator,BoomHits,Role Playing,1000000,2022-04-05 00:00:00.000000,174 Mo,3.8,5.0,4.3,2022-04-11 00:00:00.000000,2022-05-06 21:33:13.533635
Cat Runner: Decorate Home,solou.catendless.run,Ivy,Role Playing,100000000,2022-03-28 00:00:00.000000,86 Mo,4.7.1,4.4,4.2,2022-04-11 00:00:00.000000,2022-05-06 21:33:13.647253
Call of Antia: Match 3 RPG,funplus.coa,FunPlus International AG,Role Playing,1000000,2022-04-02 00:00:00.000000,172 Mo,1.3.11,5.0,4.5,2022-04-11 00:00:00.000000,2022-05-06 21:33:13.767160
Children's doctor : dentist.,YovoGames.dentist,YovoGames,Role Playing,100000000,2022-03-16 00:00:00.000000,19 Mo,1.3.1,4.4,4.0,2022-04-11 00:00:00.000000,2022-05-06 21:33:13.880056
Mighty Party,panoramik.mightyparty,PANORAMIK GAMES LTD,Role Playing,10000000,2022-03-26 00:00:00.000000,75 Mo,1.82,5.1,4.8,2022-04-11 00:00:00.000000,2022-05-06 21:33:13.994041
Super Stylist Fashion Makeover,cocoplay.fashion.style,CrazyLabs LTD,Role Playing,50000000,2022-04-08 00:00:00.000000,77 Mo,2.5.04,6.0,4.1,2022-04-11 00:00:00.000000,2022-05-06 21:33:14.107168
Hustle Castle: Rise of knights,my.hc.rpg.kingdom.simulator,My.com B.V.,Role Playing,50000000,2022-04-08 00:00:00.000000,147 Mo,1.52.0,4.4,4.2,2022-04-11 00:00:00.000000,2022-05-06 21:33:14.220492
Coach Bus Driving Simulator 3D,playtrends.citypassenger.coachbus.simulatorbus.driving3d,Newry,Role Playing,50000000,2022-02-15 00:00:00.000000,69 Mo,8.1.6,5.0,4.2,2022-04-11 00:00:00.000000,2022-05-06 21:33:14.386168
Gladiators: Survival in Rome,colossi.survival.gladiators,Colossi Games,Role Playing,500000,2022-04-11 00:00:00.000000,91 Mo,1.7.3,4.4,4.4,2022-04-11 00:00:00.000000,2022-05-06 21:33:14.519823
Summoners War,com2us.smon.normal.freefull.google.kr.android.common,Com2uS,Role Playing,50000000,2022-03-31 00:00:00.000000,1.3G,6.5.8,4.4,4.2,2022-04-11 00:00:00.000000,2022-05-06 21:33:14.635148
Miami Rope Hero Spider Games,openworldactiongames.ropehero.crime.city,Newry,Role Playing,50000000,2022-03-04 00:00:00.000000,102 Mo,1.1.6,5.0,4.2,2022-04-11 00:00:00.000000,2022-05-06 21:33:14.748404
Web Master 3D,ouazgames.SpiderMaster,TapNation,Role Playing,10000000,2022-04-11 00:00:00.000000,157 Mo,46,5.1,3.9,2022-04-11 00:00:00.000000,2022-05-06 21:33:14.863098
City Driving School Car Games,bettergames.real.drivingschool.simulator,Better Games Studio Pty Ltd,Role Playing,10000000,2022-03-29 00:00:00.000000,56 Mo,7.7,4.4,4.1,2022-04-11 00:00:00.000000,2022-05-06 21:33:14.975997
Craft Monster Master,house.robo.maxi.craft.game,Kkitbri,Role Playing,1000000,2021-07-30 00:00:00.000000,29 Mo,100,3.0,3.9,2022-04-11 00:00:00.000000,2022-05-06 21:33:15.091415
RAID: Shadow Legends,plarium.raidlegends,Plarium Global Ltd,Role Playing,10000000,2022-03-31 00:00:00.000000,151 Mo,5.30.1,5.0,4.5,2022-04-11 00:00:00.000000,2022-05-06 21:33:15.203272
Flight Pilot Simulator 3D,fungames.flightpilot,Fun Games For Free,Role Playing,100000000,2022-04-01 00:00:00.000000,145 Mo,2.6.32,5.0,4.2,2022-04-11 00:00:00.000000,2022-05-06 21:33:15.424225
Makeup Games: Makeover Salon,games,Salon™,Role Playing,10000000,2022-04-08 00:00:00.000000,60 Mo,3.4,4.4,4.5,2022-04-11 00:00:00.000000,2022-05-06 21:33:15.564597
Tailed Demon Slayer,cookapps.taileddemonslayer,CookApps,Role Playing,1000000,2022-03-31 00:00:00.000000,101 Mo,1.2.51,4.4,4.7,2022-04-11 00:00:00.000000,2022-05-06 21:33:15.677957
Gangster Games Crime Simulator,gl.go.to.gangster.city.bhola.record.fighting.games,Gaming League,Role Playing,5000000,2021-11-13 00:00:00.000000,57 Mo,3.1,4.4,3.8,2022-04-11 00:00:00.000000,2022-05-06 21:33:15.791536
Highrise: Virtual Metaverse,pz.life.android,Pocket Worlds,Role Playing,5000000,2022-04-06 00:00:00.000000,94 Mo,1.38.1,5.0,4.0,2022-04-11 00:00:00.000000,2022-05-06 21:33:16.223586
Wild West Cowboy Craft,cowboy.wild.west.craft.mc.free,StartourMobs,Role Playing,1000000,2022-04-06 00:00:00.000000,25 Mo,14...,4.1,4.2,2022-04-11 00:00:00.000000,2022-05-06 21:33:16.336258
Valor Legends: Idle RPG,ageofeternity.global,Century Games Pte. Ltd.,Role Playing,1000000,2022-03-05 00:00:00.000000,150 Mo,14.0.102746,5.0,4.6,2022-04-11 00:00:00.000000,2022-05-06 21:33:16.450638
Albion Online,albiononline,Sandbox Interactive GmbH,Role Playing,5000000,2022-04-03 00:00:00.000000,111 Mo,1.19.072.218544,8.0,4.3,2022-04-11 00:00:00.000000,2022-05-06 21:33:16.563998
Masha and the Bear Pizza Maker,devgame.masha.and.bear.pizzeria.games,DEVGAME KIDS games,Role Playing,10000000,2022-03-03 00:00:00.000000,48 Mo,1.2.5,5.0,4.3,2022-04-11 00:00:00.000000,2022-05-06 21:33:16.676616
Ragdoll Turbo Dismount,vicenter.stickman.ragdoll.dismounting,Herald Studio,Simulation,5000000,2022-04-05 00:00:00.000000,50 Mo,1.73,6.0,3.6,2022-04-11 00:00:00.000000,2022-05-06 21:33:16.789617
Idle Lumber Empire,lumber.inc,Game Veterans,Simulation,10000000,2022-03-16 00:00:00.000000,150 Mo,1.4.0,5.0,4.1,2022-04-11 00:00:00.000000,2022-05-06 21:33:16.903483
DIY Joystick,opszzy.sl097,CrazyLabs LTD,Simulation,5000000,2022-04-07 00:00:00.000000,127 Mo,1.0.8.0,6.0,4.3,2022-04-11 00:00:00.000000,2022-05-06 21:33:17.124248
Fake Island: Demolish!,unicostudio.fakeisland,Unico Studio,Simulation,1000000,2022-03-18 00:00:00.000000,265 Mo,5.1,5.1,4.2,2022-04-11 00:00:00.000000,2022-05-06 21:33:17.242551
Phone Case DIY,newnormalgames.phonecasediy,CrazyLabs LTD,Simulation,100000000,2022-03-29 00:00:00.000000,140 Mo,2.6.4.0,6.0,4.1,2022-04-11 00:00:00.000000,2022-05-06 21:33:17.356328
Art Drawing 3D,supercent.kdrawing,Supercent,Simulation,100000,2022-04-06 00:00:00.000000,136 Mo,1.2.24,4.4,4.4,2022-04-11 00:00:00.000000,2022-05-06 21:33:17.469041
DIY Keyboard,qidafcl.sl054,CrazyLabs LTD,Simulation,10000000,2022-04-01 00:00:00.000000,170 Mo,1.8.1.0,6.0,4.3,2022-04-11 00:00:00.000000,2022-05-06 21:33:17.582844
String Pull,fontes.stringpull,CrazyLabs LTD,Simulation,10000000,2022-03-24 00:00:00.000000,75 Mo,1.2.2.0,6.0,4.5,2022-04-11 00:00:00.000000,2022-05-06 21:33:17.696152
"Makeup Artist: Makeup Games, Fashion Stylist",beautysalon.makeupartist,FunLanding Game Studio,Simulation,10000000,2022-01-27 00:00:00.000000,116 Mo,1.3.2,5.0,4.4,2022-04-11 00:00:00.000000,2022-05-06 21:33:17.809030
Pop it Fidget Toys 3D,StressGame.AntistessPopToySatisfying,FALCON GLOBAL LTD,Simulation,10000000,2022-02-22 00:00:00.000000,141 Mo,3.8,4.4,3.9,2022-04-11 00:00:00.000000,2022-05-06 21:33:17.921306
Solar Smash,paradyme.solarsmash,Paradyme Games,Simulation,50000000,2021-12-17 00:00:00.000000,145 Mo,1.7.2,5.1,4.6,2022-04-11 00:00:00.000000,2022-05-06 21:33:18.435176
Family Farm Adventure,farmadventure.global,Century Games Pte. Ltd.,Simulation,10000000,2022-04-07 00:00:00.000000,408 Mo,1.4.342,5.0,4.4,2022-04-11 00:00:00.000000,2022-05-06 21:33:18.548075
City Smash,paradyme.citysmash,Paradyme Games,Simulation,10000000,2021-12-14 00:00:00.000000,75 Mo,1.40,5.1,4.4,2022-04-11 00:00:00.000000,2022-05-06 21:33:18.661111
Theme Park Fun 3D!,gk.themeparkfun3d,Alictus,Simulation,5000000,2022-04-08 00:00:00.000000,121 Mo,1.0.76,5.0,4.0,2022-04-11 00:00:00.000000,2022-05-06 21:33:18.773112
MiniCraft: Blocky Craft 2022,moon.craft.buildingcraft,XGame Global,Simulation,10000000,2022-03-11 00:00:00.000000,161 Mo,2.1.2,6.0,4.2,2022-04-11 00:00:00.000000,2022-05-06 21:33:18.885372
Office Fever,dtg.officefever,Rollic Games,Simulation,5000000,2022-04-07 00:00:00.000000,79 Mo,2.1.0,5.0,4.2,2022-04-11 00:00:00.000000,2022-05-06 21:33:18.998557
Truck Simulator : Ultimate,zuuks.truck.simulator.ultimate,Zuuks Games,Simulation,10000000,2022-04-01 00:00:00.000000,74 Mo,1.1.8,5.0,4.4,2022-04-11 00:00:00.000000,2022-05-06 21:33:19.112053
Sculpt people,sdpgames.sculptpeople,CrazyLabs LTD,Simulation,50000000,2022-03-30 00:00:00.000000,144 Mo,1.8.8.0,6.0,4.1,2022-04-11 00:00:00.000000,2022-05-06 21:33:19.339323
The Baby In Yellow,TeamTerrible.BabyInYellow,Team Terrible,Simulation,10000000,2022-01-24 00:00:00.000000,168 Mo,1.4.2,5.0,4.3,2022-04-11 00:00:00.000000,2022-05-06 21:33:19.459871
Craftsman: Building Craft,craftsman.go,StarGame22,Simulation,100000000,2021-10-31 00:00:00.000000,84 Mo,1.9.216,4.2,4.1,2022-04-11 00:00:00.000000,2022-05-06 21:33:19.573577
DIY Makeup,crazylabs.diy.make.up,CrazyLabs LTD,Simulation,50000000,2022-04-09 00:00:00.000000,108 Mo,1.6.9.1,6.0,4.0,2022-04-11 00:00:00.000000,2022-05-06 21:33:19.685860
Star Box Simulator for Brawl Stars: Open The Boxes,madt.brawlsimulator,Android Helper Games,Simulation,5000000,2022-03-28 00:00:00.000000,70 Mo,1.7.61,4.4,4.0,2022-04-11 00:00:00.000000,2022-05-06 21:33:19.799586
3D Driving Class,Company.ProductName1,John 3:16,Simulation,10000000,2022-02-17 00:00:00.000000,296 Mo,25.9,4.4,4.3,2022-04-11 00:00:00.000000,2022-05-06 21:33:20.032459
Stickman Combat Legend,fc.stickman.heroes.fight.stick.warrirors,FALCON GLOBAL LTD,Simulation,1000000,2022-04-03 00:00:00.000000,67 Mo,1.0.7,5.0,4.6,2022-04-11 00:00:00.000000,2022-05-06 21:33:20.144305
Pocket Love,hyperbeard.pocketlove,HyperBeard,Simulation,5000000,2022-04-08 00:00:00.000000,130 Mo,1.2.3,6.0,4.7,2022-04-11 00:00:00.000000,2022-05-06 21:33:20.363530
Grow Animals,vgf.animalcell,Lion Studios,Simulation,5000000,2021-11-29 00:00:00.000000,163 Mo,0.26,5.0,4.1,2022-04-11 00:00:00.000000,2022-05-06 21:33:20.613163
Crazy Plane Landing,crazy.plane.landing,BoomBit Games,Simulation,10000000,2022-03-26 00:00:00.000000,80 Mo,0.5.0,5.1,3.8,2022-04-11 00:00:00.000000,2022-05-06 21:33:20.753692
Ragdoll Fall: Break the Bones!,tatemgames.ragdollfall,CASUAL AZUR GAMES,Simulation,5000000,2022-04-05 00:00:00.000000,85 Mo,0.1.310,6.0,3.3,2022-04-11 00:00:00.000000,2022-05-06 21:33:20.867754
FIFA Soccer,ea.gp.fifamobile,ELECTRONIC ARTS,Sports,100000000,2022-03-03 00:00:00.000000,125 Mo,15.5.04,5.0,4.5,2022-04-11 00:00:00.000000,2022-05-06 21:33:20.980532
8 Ball Pool,miniclip.eightballpool,Miniclip.com,Sports,500000000,2022-03-28 00:00:00.000000,75 Mo,5.7.0,4.4,4.5,2022-04-11 00:00:00.000000,2022-05-06 21:33:21.211205
